"KEGG","2DG","Cer","NaN3"
"C00009",-0.00902681674830368,0.018541537744648,-0.32898218803326
"C00022",0.666737282042152,-0.297028710428165,-0.375022415726348
"C00025",-0.0197535520855963,-0.158546077929364,-0.216186999961712
"C00026",0.284098180959932,-0.37401940329452,-0.37401940329452
"C00037",-0.0300708427279754,0.00611045532759169,-0.26154371635882
"C00041",-0.153267561544517,-0.153158238787672,-0.267878310279333
"C00042",-0.0868272907066107,-0.104161248974541,-0.319799072264742
"C00047",-0.00418076079467287,-0.0319394556680445,-0.161240032754066
"C00048",0.46683929059763,0.23551412562301,-0.14230068190976
"C00049",-0.244114763568659,-0.327407880511861,-0.321682051315025
"C00077",-0.277905929287912,-0.299188321586735,-0.344009345255137
"C00079",-0.190363408503234,-0.237557958281628,-0.222374533877136
"C00082",-0.228530059773445,-0.172863051529466,-0.252686831460532
"C00086",8.1543247266684e-05,0.113387644860973,-0.378279826643398
"C00089",0.000537531847394896,0.0465384375969178,-0.129225832954775
"C00099",0.98590436298798,0.312016421173972,0.177963653048509
"C00116",-0.208158766667281,0.267999482639369,-0.38123355960362
"C00122",0.154720923192339,0.131179401983398,-0.316019005387394
"C00123",-0.254681914800581,-0.202056960980475,-0.280278735890592
"C00134",0.532981375761883,-0.258174049461476,0.0867400042330629
"C00148",-0.269197863831663,-0.278092175072335,-0.314119048968558
"C00158",1.28588012673597,0.591121287081622,0.121065440949759
"C00183",-0.221175295745572,-0.149754956879565,-0.254063098662228
"C00186",0.0188243133821335,0.120364431364576,-0.419383973550796
"C00188",-0.333861879511762,-0.360104966526711,-0.345376583128749
"C00189",-0.108813815487244,-0.13411266681821,-0.615675202369652
"C00192",0.133753109015112,0.0881119600714358,-0.150944368394338
"C00209",0.598851901592247,0.295193232846342,-0.0968159360644821
"C00221",0.258719559670707,0.522134816795896,0.080660950348288
"C00249",-0.122149307704345,-0.244580247620213,-0.540955758875682
"C00258",0.156489422846784,0.0202591728542291,-0.466102386634215
"C00392",0.354259521247782,-0.0255417060741039,-0.168607271115425
"C00407",-0.252907514785358,-0.192806650267736,-0.277853568812772
"C00431",-0.37401940329452,-0.103631169680914,-0.37401940329452
"C00489",1.01698524971843,0.288150733857599,-0.132689676986001
"C00539",0.441870643873873,0.111840584433002,-0.312053445758219
"C00712",-0.315496252050566,-0.479951377921999,-0.656426942542649
"C00716",-0.306246651185191,-0.313252754213083,-0.340243387157602
"C00794",0.586655634679599,0.503577571316874,-0.18262616641651
"C00823",0.147447733576191,-0.0859310357079151,-0.368847357581987
"C00936",-0.369340488291938,-0.00418233587225991,0.099591126589375
"C00984",-0.253238111053244,0.22560721585169,0.17064540703271
"C01013",0.144790112733941,0.103876518454359,-0.124520584714337
"C01089",0.0877564254701004,0.167488807592319,-0.120994502052127
"C01157",0.0416915413742638,-0.288312509015218,-0.154957300982281
"C01487",0.148532282323981,0.089850151004195,0.342936752958405
"C01530",0.0716078866423158,0.00913234413982822,-0.350879803913677
"C01571",-0.0428403349345934,-0.0602392589994987,-0.369388068659525
"C01585",0.134272506993892,0.115483266622953,-0.188819678785764
"C01595",0.0200979234770415,-0.122536105511378,-0.423129459240025
"C01601",0.0685210060991596,0.077433022586781,-0.202392267190843
"C01672",0.04769427318963,0.0983487563720045,-0.0580889398411907
"C01712",-0.0524635694585274,-0.278944332968333,-0.485746629970283
"C01879",-0.115270151825988,-0.0320960958215523,-0.321095169847635
"C02037",0.0370390439041805,0.079252502342032,-0.271558458670735
"C02336",-0.40329558487762,0.136259890398154,0.218519647252362
"C02504",0.905590719814609,0.363481429165323,-0.404268054626979
"C02679",0.134782272371228,0.0466828300044538,-0.3246199466107
"C03547",0.705762249523081,0.133299350202906,-0.348499397831051
"C06104",0.511658301823704,-0.0242548915866006,-0.392903062904984
"C06423",0.165560132625084,0.166369317817276,-0.0938328978060611
"C06424",-0.377307300495952,-0.500949729879271,-0.554705952625328
"C06771",-0.0916413395759014,-0.420783289048905,-0.423640465373863
"C16513",-0.124887715451621,-0.00763796006151794,-0.0584894685185489
"C19670",0.0340822130173671,0.14723032080381,-0.872099494734893
"D01924",-0.0238750286738275,-0.00705665848167064,-0.276322305955655
